X_L (cm),Y_L (cm),X_R (cm),Y_R (cm),Theta (degrees)
-9.5,22.5,-9.1,30.8,165
-9.1,23.0,-8.5,31.1,162
-9.4,22.9,-8.9,31.1,165
-7.9,23.0,-7.1,31.4,161
-9.3,22.7,-8.8,30.8,164
-9.8,22.4,-9.5,30.5,168
-10.0,22.2,-9.6,30.3,164
-7.3,24.0,-6.3,31.9,162
-8.4,23.2,-8.4,31.1,165
-9.0,23.1,-8.1,31.2,166
-9.1,22.8,-8.5,30.9,167
-8.3,23.1,-7.4,31.3,165
-9.9,22.2,-9.4,30.4,168
-9.3,22.7,-8.9,30.8,167
-9.6,22.1,-9.4,30.4,168
-8.5,23.1,-7.7,31.2,165
-9.2,22.5,-8.5,30.8,166
-9.3,22.0,-8.1,30.3,169
-9.1,22.8,-8.1,30.9,165
-9.3,21.6,-6.5,30.0,169
-9.4,22.5,-8.2,30.7,167
-7.8,22.8,-8.0,30.9,167
-10.0,22.8,-8.7,30.9,163
