X_L (cm),Y_L (cm),X_R (cm),Y_R (cm),Theta (degrees)
18.8,30.0,16.3,21.8,16.3
17.5,31.0,15.3,22.9,17.3
17.8,30.4,15.7,22.3,17.3
18.3,30.3,16.1,22.0,17.3
16.6,31.5,14.6,23.5,18.3
15.4,31.3,13.8,23.5,22.3
17.7,30.8,15.5,22.8,23.3
18.2,30.5,16.0,22.3,17.3
19.3,29.9,16.9,21.6,16.3
18.0,30.8,15.8,22.6,17.3
18.6,30.1,16.3,21.9,16.3
20.6,28.8,18.0,20.9,13.3
17.9,30.5,15.7,22.4,17.3
19.3,30.0,16.9,21.7,15.3
17.5,30.4,15.3,22.3,17.3
18.5,29.9,16.2,21.7,16.3
19.5,29.9,17.0,21.5,15.3
19.6,30.0,17.0,21.7,15.3
18.0,30.6,15.8,22.5,16.3
19.5,29.9,17.0,21.5,14.3
17.6,30.5,19.0,22.3,24.0
18.8,30.3,9.6,22.1,15.0
18.7,30.2,19.7,22.1,12.0
