X_L (cm),Y_L (cm),X_R (cm),Y_R (cm),Theta (degrees)
1.2,39.7,9.3,39.6,89
3.0,39.9,11.2,39.5,87
2.6,39.9,10.8,39.5,88
2.2,39.8,10.4,39.5,88
1.4,39.8,9.6,39.7,89
0.5,39.9,8.1,39.8,90
-0.5,39.9,7.6,39.9,90
2.5,40.0,10.6,39.6,87
1.2,40.0,9.3,39.9,89
1.2,40.0,9.2,40.0,88
1.5,39.8,9.7,39.5,88
2.0,39.8,10.1,39.4,88
1.4,39.8,9.5,39.8,89
-1.1,39.7,7.1,39.9,91
0.0,40.1,8.2,40.1,90
0.7,39.8,8.8,39.7,89
0.8,40.0,8.9,39.8,89
1.4,39.8,9.5,39.7,89
1.7,40.0,9.8,39.7,88
2.0,40.0,10.1,39.7,88
0.5,39.3,8.5,39.6,92
1.3,40.0,9.3,39.7,88
2.2,40.3,10.4,39.7,87
