,x,y,theta
0,-85.59375991,-68.98082534,1.25549595
1,-83.67800444,-67.72636412,1.46132334
2,-83.92033472,-67.85759701,1.39440153
3,-83.32939355,-67.50833028,1.42180074
4,-83.75620927,-67.82794063,1.4731667
5,-83.39276482,-67.52913114,1.44391363
6,-83.38817636,-67.58348052,1.44782455
7,-83.4810877,-68.13840733,1.40531397
8,-83.35923911,-67.53035797,1.41700122
9,-84.04487862,-68.0350216,1.33327485
10,-84.58102289,-68.43639495,1.32442956
11,-85.13291020000001,-68.66472224,1.31228155
12,-83.24138858,-67.44162904,1.42966836
13,-83.92173394,-67.81447393,1.32400592
14,-84.51805733,-68.28903695,1.42788109
15,-83.98342342,-68.45422931,1.45815955
16,-85.58813457,-69.18677779999999,1.46265859
17,-85.82695531,-69.14837416,1.25639044
18,-84.30967371,-68.08903983,1.36043727
19,-83.43113181,-67.3964941,1.34621191
20,-86.19929305,-69.47057264,1.275850078
21,-83.252389172,-67.43510505,1.381528461
22,-83.195088555,-67.40920566,1.443398568
23,-85.398745246,-68.87997821,1.354377344
24,-83.894086465,-67.79226161,1.334719667
25,-84.041745936,-67.97364567,1.421877109
26,-83.48700737899999,-67.56246170000001,1.450764462
27,-83.114774222,-67.15249767,1.280162795
28,-84.402154704,-68.15449362,1.369122137
29,-83.179004756,-67.26716285,1.443435327
30,-84.041745936,-67.97364567,1.421877109
31,-83.48700737899999,-67.56246170000001,1.450764462
32,-83.114774222,-67.15249767,1.280162795
33,-84.402154704,-68.15449362,1.369122137
34,-83.179004756,-67.26716285,1.443435327
35,-86.19929305,-68.87997821,1.354377344
36,-83.252389172,-67.79226161,1.334719667
37,-83.195088555,-69.47057264,1.275850078
38,-85.398745246,-67.43510505,1.381528461
39,-83.89408647,-67.40920566,1.443398568
40,-83.66195676661997,-67.79839099083661,1.474630148246878
41,-84.04281151509173,-67.87098501320844,1.3407784843169344
42,-83.9217339364494,-67.81447393098415,1.3240059180367518
43,-84.72766124525711,-68.50480213691581,1.3329780953682906
44,-83.9217339364494,-67.81447393098415,1.3240059180367518
45,-84.6291535166743,-68.3151529286627,1.3904395509135845
46,-83.19508855476846,-67.40920565923145,1.4433985680999049
47,-83.91313285678812,-67.82407722333541,1.433080106644491
48,-85.06273325939277,-68.62202070143343,1.4311569388058372
49,-83.19508855476846,-67.40920565923145,1.4433985680999049
50,-83.34524180935806,-67.52560275566991,1.382508134276338
51,-85.04194810190462,-68.59416842391181,1.36878323675168
52,-83.91313285678812,-67.82407722333541,1.4330801066444914
53,-83.70774907075797,-67.68596672521315,1.4356956093724866
54,-83.99496047131393,-67.84348982427144,1.439095869019389
55,-83.19508855476846,-67.40920565923145,1.4433985680999049
56,-83.91313285678812,-67.82407722333541,1.4330801066444911
57,-83.19508855476846,-67.40920565923143,1.4433985680999046
58,-83.19508855476846,-67.40920565923145,1.4433985680999049
59,-83.19508855476846,-67.40920565923143,1.4433985680999046
