,x,y,theta
0,-86.22402098,-70.5388993,1.54774879
1,-85.40521139,-69.95091625,1.52519906
2,-87.51004822,-71.41847961,1.33948493
3,-87.40337979,-71.31917952,1.51681216
4,-85.43025574,-69.96898063,1.52075563
5,-87.43252678,-71.31457021,1.54738427
6,-90.48871622,-73.51999349,1.43175453
7,-87.15728691,-71.14363037,1.29543492
8,-87.43195905,-71.31281341,1.55144672
9,-87.16159408,-71.12209019,1.53559292
10,-86.23275869,-70.53192883,1.50998716
11,-87.43459127,-71.24524972,1.35300825
12,-85.40521139,-69.95091625,1.52519906
13,-90.48871622,-73.51999349,1.43175453
14,-87.46034553,-71.40065339,1.34832405
15,-85.67649407,-70.14275393,1.49582917
16,-85.44454135,-69.97823604,1.52112649
17,-85.40521139,-69.95091625,1.52519906
18,-85.44574634,-69.9781542,1.52572402
19,-87.43608461,-71.32434463,1.56041837
20,-87.12992203,-71.01939686,1.536242446
21,-86.80484948,-70.84067968,1.527564984
22,-92.64588024,-74.87856476,1.5175279259999999
23,-87.52296968,-71.29347926,1.522952314
24,-87.01766459,-70.99759156,1.4664877090000001
25,-87.58761172,-71.39540509999999,1.347853075
26,-87.47220314,-71.22486619,1.5183363719999998
27,-87.57750508,-71.35345757,1.5785286680000001
28,-91.63706472,-74.13063819999999,1.416817759
29,-87.42540656,-71.20596749,1.4706751040000001
30,-87.58761172,-71.35345757,1.347853075
31,-87.47220314,-74.13063819999999,1.5183363719999998
32,-87.57750508,-71.20596749,1.5785286680000001
33,-91.63706472,-71.22486619,1.416817759
34,-87.42540656,-71.39540509999999,1.4706751040000001
35,-87.12992203,-71.01939686,1.536242446
36,-86.80484948,-70.84067968,1.527564984
37,-87.12992203,-71.01939686,1.536242446
38,-86.80484948,-70.84067968,1.527564984
39,-92.64588024,-74.87856476,1.5175279259999999
40,-87.4926798196273,-71.51393748778847,1.5185826057863043
41,-87.98380921582273,-71.7599179605575,1.417079768587325
42,-89.43144666088072,-72.86223825233584,1.5162341884570922
43,-87.27236519669485,-71.36429590082764,1.2784530269555276
44,-89.24810935645105,-72.7103698806267,1.4815370535909131
45,-87.49925681798815,-71.53590133177299,1.480674337518165
46,-89.09904796322184,-72.61930958108236,1.5256153665347565
47,-89.4314466608807,-72.86223825233584,1.5162341884570922
48,-87.6393387395036,-71.50496075043867,1.5257368093113228
49,-87.57897549573984,-71.59619513183486,1.5517250682563886
50,-88.51944722538265,-72.10478635282051,1.239228324656784
51,-87.26968594111266,-71.19721287213069,1.4855248873953857
52,-87.7497097810663,-71.54450746099032,1.221162014152026
53,-88.6702428923686,-72.25791174744393,1.4593679895321283
54,-86.61204721231229,-70.76227138716608,1.335009959543883
55,-94.11981642351292,-76.23573555717594,1.4745539675036048
56,-90.04369482405576,-73.31732223424761,1.5313021143013816
57,-87.49267981962728,-71.51393748778847,1.5185826057863039
58,-87.28022077945877,-71.34178096278414,1.4856406105314486
59,-87.23066257872803,-71.4236852830568,1.5106687729042991
