,x,y,theta
0,-111.25781125,-69.58889944,1.86742327
1,-111.24520469,-69.67606898,1.87568664
2,-111.95700688,-70.11483944,1.8473683
3,-112.57230851,-70.35045790000001,1.86904618
4,-110.84944096,-69.36256635,1.89171443
5,-111.03860264,-69.47786296,1.89943904
6,-110.89548169,-69.38621989,1.89854387
7,-111.43497721,-69.62869837,1.52487086
8,-112.84918402,-71.12115254,1.58219992
9,-111.45585156,-69.69719797,1.82178263
10,-110.11434094,-68.95979322,1.90071757
11,-111.26052252,-69.64144288,1.67573897
12,-111.27856616,-69.61960651,1.51724297
13,-111.36333629,-69.64097747,1.86110485
14,-110.73054688,-69.3300159,1.90264909
15,-113.20572955,-70.70277155,1.93927248
16,-112.28882267,-70.22316531,1.9098191999999998
17,-112.08137175,-70.1178787,1.91977604
18,-112.75924709,-70.5027172,1.89188785
19,-111.75028721,-69.94077385,1.92032724
20,-112.0281591,-70.00085365,1.776191436
21,-112.7844987,-70.42986794,1.706365891
22,-110.831942,-69.25366427,1.736827533
23,-112.91946090000002,-70.48774643,1.927796302
24,-112.92464679999999,-70.50529428,1.770006987
25,-112.85111029999999,-70.44590035,1.9261592419999998
26,-111.0832774,-69.38904153,1.654420506
27,-111.4365155,-69.65705626,1.924798721
28,-113.91447520000001,-70.97399382,1.952521524
29,-112.49522479999999,-70.24890364,1.9270038630000002
30,-112.85111029999999,-70.44590035,1.9261592419999998
31,-111.0832774,-69.38904153,1.654420506
32,-111.4365155,-69.65705626,1.924798721
33,-113.91447520000001,-70.97399382,1.952521524
34,-112.49522479999999,-70.24890364,1.9270038630000002
35,-112.0281591,-70.00085365,1.776191436
36,-112.7844987,-70.42986794,1.706365891
37,-112.0281591,-70.00085365,1.776191436
38,-112.7844987,-70.42986794,1.706365891
39,-110.831942,-69.25366427,1.736827533
40,-112.19348207155895,-70.28864518883745,1.8683279940664683
41,-114.03769342139904,-71.23444410246991,1.834095779233484
42,-114.53737219317549,-71.56004709083062,1.6567054765174325
43,-114.05975986729368,-71.39477317270052,1.8340368521882464
44,-113.26289790391192,-70.91835848844856,1.82549492168514
45,-112.5488112221212,-70.47197157605893,1.5944552908733058
46,-113.02921103575123,-70.76728434649864,1.81293605098018
47,-112.93089901559802,-70.67940895417411,1.8792139744154668
48,-112.93032612274123,-70.67656247074625,1.8810045631927
49,-113.39118232293707,-70.96093999875256,1.9260860900406311
50,-112.6379898315432,-70.3862081587935,1.8848498173536727
51,-112.46962674766195,-70.31045633738975,1.8684762476283263
52,-112.33158632195038,-70.22363560565567,1.8739436495686004
53,-112.77027511173559,-70.44572744703926,1.8977147649950168
54,-112.63247794486851,-70.38372818844991,1.8843137778686168
55,-112.77027511173559,-70.44572744703926,1.8977147649950168
56,-112.77027511173559,-70.44572744703926,1.8977147649950168
57,-112.77027511173559,-70.4457274470393,1.8977147649950168
58,-112.46962674766195,-70.31045633738975,1.8684762476283263
59,-112.46962674766195,-70.31045633738975,1.8684762476283263
