,x,y,theta
0,-127.19158012,-81.25589943,1.68432149
1,-116.72346206,-75.25262132,1.52078127
2,-116.62675060000001,-75.19145333,1.51346062
3,-115.29039556,-74.47400849,1.76481692
4,-120.40558611,-78.09754329,1.76055508
5,-121.26990313,-78.01176632,1.75545735
6,-114.48953677,-73.94990413,1.81604661
7,-114.6494348,-74.16911508,1.62598322
8,-116.29961920000001,-75.06215242,1.78344248
9,-126.43340244,-81.01261211,1.68756731
10,-118.07529691,-76.18472269,1.78591592
11,-116.59556595,-75.26835095,1.82235998
12,-114.48953677,-73.94990413,1.81604661
13,-116.62675060000001,-75.19145333,1.51346062
14,-114.45993651,-73.9416146,1.78276148
15,-115.070806,-74.34825918,1.7077601999999998
16,-116.58161869,-75.16614225,1.52578919
17,-114.53260545,-73.982804,1.75049607
18,-116.22542481,-75.04129399,1.7740918999999997
19,-115.35167867,-74.49909702,1.74582663
20,-114.48953677,-73.94990413,1.81604661
21,-115.1708344,-74.31487116,1.8150967630000001
22,-115.71142090000001,-74.63475221,1.780019016
23,-115.71142090000001,-74.63475221,1.780019016
24,-118.01682520000001,-75.9906775,1.72206226
25,-116.62675060000001,-75.19145333,1.513460621
26,-120.0130088,-77.17138717,1.624515514
27,-115.6852004,-74.66050665,1.802120155
28,-116.62675060000001,-75.19145333,1.513460621
29,-116.62675060000001,-75.19145333,1.513460621
30,-116.62675060000001,-75.19145333,1.513460621
31,-115.6852004,-77.17138717,1.513460621
32,-116.62675060000001,-74.66050665,1.624515514
33,-116.62675060000001,-75.19145333,1.802120155
34,-116.62675060000001,-75.19145333,1.513460621
35,-115.71142090000001,-75.19145333,1.513460621
36,-115.71142090000001,-74.63475221,1.513460621
37,-115.6852004,-74.63475221,1.8150967630000001
38,-116.62675060000001,-75.19145333,1.780019016
39,-116.62675060000001,-75.19145333,1.780019016
40,-116.62675060000001,-75.19145333,1.72206226
41,-114.76811927104369,-73.93979642428843,1.8160728517104767
42,-116.82775620797732,-75.35812802481144,1.8569358188285747
43,-116.82775620797732,-75.35812802481142,1.8569358188285747
44,-116.626750601452,-75.19145332639067,1.5134606208858683
45,-116.59480662695059,-75.17460616174888,1.5150000289417662
46,-121.22466078283985,-77.75383655407208,1.7426683766978954
47,-116.72074283034172,-75.35416288350355,1.815685744866588
48,-116.82775620797727,-75.35812802481144,1.8569358188285747
49,-116.4461028489824,-75.1302076577293,1.7820852906047104
50,-117.77424369546877,-75.93324797403797,1.880977347448683
51,-116.78844517129484,-75.35667144229019,1.841782730434376
52,-116.82775620797727,-75.35812802481144,1.8569358188285747
53,-116.37959133135921,-75.13421469797365,1.8901778201988304
54,-114.50897758511988,-74.04105971224183,1.5416731829257992
55,-116.82775620797727,-75.35812802481144,1.8569358188285747
56,-116.82557226149493,-75.35804710356027,1.8560939805844523
57,-116.82532408575831,-75.35803790796353,1.8559983171476204
58,-116.82775620797727,-75.35812802481144,1.8569358188285747
59,-114.48953677156372,-73.94990413069556,1.8160466083084648
60,-114.50039371789154,-73.97191979210602,1.7720643225742343
