,x,y,theta
0,-48.33475275,-48.89290006,1.197728711
1,-48.93780917,-49.15920796,0.9358679479
2,-49.39069712,-49.57566352,0.8270737504000001
3,-49.48174595,-49.52834878,0.6447302482
4,-47.82349679,-48.27779959,0.7693526773
5,-49.09405411,-49.29257249,1.020825742
6,-49.09405411,-49.29257249,1.020825742
7,-48.88787994,-49.08547786,0.8744359713
8,-48.60460213,-48.93099964,1.018724521
9,-49.59576024,-49.72462169,1.165768629
10,-48.88787994,-49.08547786,1.020825742
11,-48.60460213,-48.93099964,1.020825742
12,-49.59576024,-49.72462169,0.8744359713
13,-48.88787994,-49.08547786,1.018724521
14,-48.60460213,-48.93099964,1.165768629
15,-49.59576024,-49.72462169,1.020825742
16,-48.33475275,-49.15920796,1.020825742
17,-48.93780917,-49.57566352,0.8744359713
18,-49.39069712,-49.52834878,1.018724521
19,-49.48174595,-48.27779959,1.165768629
20,-48.18402947,-48.73730668,1.08291421
21,-48.73679446,-49.096379,1.0263733
22,-49.085941399999996,-49.35824429,0.84208544
23,-48.47588673,-48.88224474,1.0544605
24,-48.74315742,-49.09710544,1.25014394
25,-48.05179874,-48.56322593,1.17162014
26,-52.52275275,-52.02775395,1.03178783
27,-49.14135975,-49.39467515,0.83742196
28,-48.50428298,-48.91203705,1.2639337
29,-48.31399989,-48.70777099,0.79977847
30,-48.39141408,-48.7715154,0.8253515990000001
31,-49.55938446,-49.70695176,1.1110392
32,-47.68595785,-48.27368123,1.05793769
33,-48.27347483,-48.68874716,1.18724651
34,-49.30059982,-49.49807948,0.83147986
35,-49.1246676,-49.37721106,0.83027057
36,-48.81297432,-49.17721532,1.03211237
37,-52.61669711,-52.09880134,1.02638914
38,-48.83588755,-49.60708104,1.24515888
39,-51.04491137,-50.88358187,1.11658213
40,-48.63486416123428,-49.042513480179316,1.2638925684978757
41,-49.266213813418865,-49.46086870964074,0.8591562222030538
42,-48.34743840666085,-48.78498529751497,1.2592131548950831
43,-53.930579720109435,-53.15408226219483,0.9566997671543428
44,-48.01185555010722,-48.530824489746685,1.149102434278107
45,-48.63486416123428,-49.042513480179345,1.2638925684978752
46,-49.22036423235048,-49.49060665306882,1.220857900546605
47,-48.67914611167616,-49.078053356444684,0.7845971869229358
48,-48.63036844786878,-48.917936815332595,1.2640191728434227
49,-48.48676767434912,-49.006382328213775,1.1876199582321776
50,-47.70890825653829,-48.297449672958,1.235696971103721
51,-49.3005603391996,-49.44086414809078,0.9769898373175384
52,-48.63486416123428,-49.042513480179316,1.2638925684978757
53,-52.041013188412435,-51.679853054536025,1.0678599577005488
54,-47.70890825653832,-48.297449672958,1.235696971103721
55,-48.018767808380254,-48.266668653514245,0.9592968208393896
56,-53.930579720109435,-53.15408226219483,0.9566997671543428
57,-48.63486416123428,-49.042513480179316,1.2638925684978757
58,-48.56687848823514,-48.978013886602966,1.2554065898176523
59,-48.84434176325564,-49.17336177852411,1.2436383599236904
